Date,Type,Link
2022-10-14 21:09:08,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6986402737206751232
2022-10-08 04:32:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6981237601798148096
2022-10-08 04:29:21,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6984280040985309184
2022-10-07 19:44:08,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6984233034967375872
2022-10-06 04:01:46,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6981916472377819136
2022-10-03 19:03:48,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6982199028608339968
2022-10-03 19:01:05,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6982677513550397440
2022-10-01 07:16:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6981273859060551680
2022-10-01 07:15:31,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6981850893570715648
2022-09-30 08:00:25,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6981457695149092864
2022-09-29 05:37:15,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980085157865160704
2022-09-28 18:43:03,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6980864827313258496
2022-09-25 06:01:09,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6979680723775438848
2022-09-24 20:19:45,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6978673879296708608
2022-09-24 15:27:09,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978713783967846400
2022-09-24 15:26:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978327482718384128
2022-09-22 20:38:35,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6978567404431773696
2022-09-22 20:38:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6978749236821565440
2022-09-20 21:04:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977975353784844289
2022-09-20 18:13:31,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977981054229831680
2022-09-20 13:10:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6977612848239661056
2022-09-19 07:19:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6975846964449984512
2022-09-16 05:35:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6976166806977744896
2022-09-13 14:10:18,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6975440832636088320
